_id,avg_energy,avg_sugar,avg_fat,avg_protein,avg_carbs,count,country
US,1128.5081335527275,15.976049863572932,12.377069317448084,6.7842650642561075,33.67429651538189,96022,US
France,1105.7311033880205,13.053498922434716,10.86841879299097,7.789325112125036,22.47970979904864,51505,France
Suisse,1090.3772716654987,13.757650782527445,12.65924550338706,6.793081055828077,29.1071291754263,4281,Suisse
Deutschland,1176.1896723809525,13.764432380952382,15.520922285714287,8.27453219047619,25.67974857142857,2625,Deutschland
España,1011.4574443768997,10.157489361702128,12.25066443768997,5.76415075987842,26.300443768996963,1645,España
